Benchmark,Instructions,Cycles,Seconds,Branches,Branch-misses
execution_int_add_ind,10802,53494,0,1233,602
dependency_chain6,10565,53515,0,1228,596
control_small_bbl,8015,52931,1,1356,603
execution_int_mul_ind,10805,54796,0,1236,604
dependency_chain2,10761,53793,0,1228,597
dependency_chain3,10562,53793,1,1228,599
dependency_chain5,10564,53537,1,1228,598
control_conditional,8218,52176,0,1383,602
dependency_chain4,10763,53589,0,1228,596
dependency_chain1,10759,53793,0,1228,597
control_switch,8499,53309,0,1423,667
control_random,12016,44349,0,1433,678
control_complex,9481,54605,0,1625,699
